,title,links,publication_date,venue,link4download,num_citations,num_downloads_cu,abstract
88,Ensemble-based DDoS detection and mitigation model,https://dl.acm.org/citation.cfm?id=2388587&preflayout=flat,October 2012,SIN '12: Proceedings of the Fifth International Conference on Security of Information and Networks,https://dl.acm.org/ft_gateway.cfm?id=2388587&ftid=1303109&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,3,658,"This work-in-progress paper presents an ensemble-based model for detecting and mitigating Distributed Denial-of-Service (DDoS) attacks, and its partial implementation. The model utilises network traffic analysis and MIB (Management Information Base) server load analysis features for detecting a wide range of network and application layer DDoS attacks and distinguishing them from Flash Events. The proposed model will be evaluated against realistic synthetic network traffic generated using a software-based traffic generator that we have developed as part of this research. In this paper, we summarise our previous work, highlight the current work being undertaken along with preliminary results obtained and outline the future directions of our work."
89,Measuring the Adoption of DDoS Protection Services,https://dl.acm.org/citation.cfm?id=2987487&preflayout=flat,November 2016,IMC '16: Proceedings of the 2016 Internet Measurement Conference,https://dl.acm.org/ft_gateway.cfm?id=2987487&ftid=1811695&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,8,506,"Distributed Denial-of-Service (DDoS) attacks have steadily gained in popularity over the last decade, their intensity ranging from mere nuisance to severe. The increased number of attacks, combined with the loss of revenue for the targets, has given rise to a market for DDoS Protection Service (DPS) providers, to whom victims can outsource the cleansing of their traffic by using traffic diversion."
90,A secure packet marking scheme for IP traceback in IPv6,https://dl.acm.org/citation.cfm?id=2345503&preflayout=flat,August 2012,"ICACCI '12: Proceedings of the International Conference on Advances in Computing, Communications and Informatics",https://dl.acm.org/ft_gateway.cfm?id=2345503&ftid=1271573&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,203,"The growing threat of cyber attacks, especially the DDoS (Distributed Denial of Service Attack) makes the IP Traceback very much prevalent to today's Internet security. IP Traceback is one of the security concerns that is associated with finding out the true origin of the attack/attacker. This process is very cumbersome as the IP addresses in most cases are spoofed addresses. The techniques that are used at present were designed for IPv4. Although IPv6 overcomes some of the security risks that could not be addressed at the protocol level, some problems are yet to be addressed. In addition to this, the prevailing traceback schemes need to be modified prior to their use in IPv6. Our approach in this paper focuses on a secure packet marking mechanism that would help in obtaining the marking which are authentic which a desired criteria for an improved marking scheme."
91,External Device to Protect the Software-Defined Network Performance in Case of a Malicious Attack,https://dl.acm.org/citation.cfm?id=3342016&preflayout=flat,July 2019,ICFNDS '19: Proceedings of the 3rd International Conference on Future Networks and Distributed Systems,https://dl.acm.org/ft_gateway.cfm?id=3342016&ftid=2082174&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,5,"Many security analyses argue that the Software-Defined Network (SDNs) framework has many vulnerabilities because SDN provides malicious users an easy opportunity to overload network resources. Typically, the malicious user directs the attack towards the network layer, especially the controller plane which acts as the core of the network. However, the attack is redirected to the application layer when the attacker is defeated in the network layer. This paper proposes to extend the SDN controller with an external device to improve the SDN architecture and to protect the service level of the SDN components against malicious attacks. Simulation results show that the proposal successfully protects Web servers against Slow HTTP DDoS attacks."
92,Augmented DDoS Mitigation with Reputation Scores,https://dl.acm.org/citation.cfm?id=3233279&preflayout=flat,August 2018,"ARES 2018: Proceedings of the 13th International Conference on Availability, Reliability and Security",https://dl.acm.org/ft_gateway.cfm?id=3233279&ftid=1993405&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,60,"Network attacks, especially DoS and DDoS attacks, are a significant threat for all providers of services or infrastructure. The biggest attacks can paralyze even large-scale infrastructures of worldwide companies. Attack mitigation is a complex issue studied by many researchers and security companies. While several approaches were proposed, there is still space for improvement. This paper proposes to augment existing mitigation heuristic with knowledge of reputation score of network entities. The aim is to find a way to mitigate malicious traffic present in DDoS amplification attacks with minimal disruption to communication of legitimate traffic."
93,Combating Distributed Denial of Service Attacks Using Load Balanced Hadoop Clustering in Cloud Computing Environment,https://dl.acm.org/citation.cfm?id=3284513&preflayout=flat,October 2018,ICDTE 2018: Proceedings of the 2nd International Conference on Digital Technology in Education,https://dl.acm.org/ft_gateway.cfm?id=3284513&ftid=2027548&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,15,"The Security threats in the cloud computing are drastically growing as the number of cloud resource usages are increasing continuously for various services. The analysis is significant as the rate of increase of DDOS attacks has been increasing over the past few years and no effective system has yet been developed to safeguard our systems against potential attackers. It presents a highlight of the challenges, which are caused by these attacks, and discusses the various scenarios of tackling them. It recognizes the limitation and strengths of each strategy, which have been introduced thus far to combat DDOS attacks. This paper provides the existing countermeasures under one roof and discusses the effectiveness of each methodology. This survey will help in the further development of measures to reduce and eventually prevent DDOS attacks, thereby making the Internet a more secure network. This paper analyzes and reviews various methods used to mitigate distributed denial of service (DDOS) attacks by using load balanced hadoop clustering mechanism to filter HTTP (Hypertext Transfer Protocol) requests to avoid and fight against DDOS attacks."
94,BASE: an incrementally deployable mechanism for viable IP spoofing prevention,https://dl.acm.org/citation.cfm?id=1229293&preflayout=flat,March 2007,"ASIACCS '07: Proceedings of the 2nd ACM symposium on Information, computer and communications security",https://dl.acm.org/ft_gateway.cfm?id=1229293&ftid=422126&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,7,618,"DoS attacks use IP spoofing to forge the source IP address of packets, and thereby hide the identity of the source. This makes it hard to defend against DoS attacks, so IP spoofing will still be used as an aggressive attack mechanism even under distributed attack environment. While many IP spoofing prevention techniques have been proposed, none have achieved widespread real-world use. One main reason is the lack of properties favoring incremental deployment, an essential component for the adoption of new technologies. A viable solution needs to be not only technically sound but also economically acceptable. An incrementally deploy-able protocol should have three properties: initial benefits for early adopters, incremental benefits for subsequent adopters, and effectiveness under partial deployment. Since no previous anti-spoofing solution satisfies all three of these properties, we propose a new mechanism called ""BGP Anti-Spoofing Extension"" (BASE). The BASE mechanism is an anti-spoofing protocol designed to fulfill the incremental deployment properties necessary for adoption in current Internet environments. Based on simulations we ran using a model of Internet AS connectivity, BASE shows desirable IP spoofing prevention capabilities under partial deployment. We find that just 30% deployment can drop about 97% of attack packets. Therefore, BASE not only provides adopters' benefit but also outperforms previous anti-spoofing mechanisms."
95,Measuring the Impact of a Successful DDoS Attack on the Customer Behaviour of Managed DNS Service Providers,https://dl.acm.org/citation.cfm?id=3229599&preflayout=flat,August 2018,WTMC '18: Proceedings of the 2018 Workshop on Traffic Measurements for Cybersecurity,https://dl.acm.org/ft_gateway.cfm?id=3229599&ftid=1992442&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,201,"Distributed Denial-of-Service (DDoS) attacks continue to pose a serious threat to the availability of Internet services. The Domain Name System (DNS) is part of the core of the Internet and a crucial factor in the successful delivery of Internet services. Because of the importance of DNS, specialist service providers have sprung up in the market, that provide managed DNS services. One of their key selling points is that they protect DNS for a domain against DDoS attacks. But what if such a service becomes the target of a DDoS attack, and that attack succeeds?"
96,FlexProtect: A SDN-based DDoS Attack Protection Architecture for Multi-tenant Data Centers,https://dl.acm.org/citation.cfm?id=3149476&preflayout=flat,January 2018,HPC Asia 2018: Proceedings of the International Conference on High Performance Computing in Asia-Pacific Region,https://dl.acm.org/ft_gateway.cfm?id=3149476&ftid=1939912&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,156,"With the recent advances in software-defined networking (SDN), the multi-tenant data centers provide more efficient and flexible cloud platform to their subscribers. However, as the number, scale, and diversity of distributed denial-of-service (DDoS) attack is dramatically escalated in recent years, the availability of those platforms is still under risk. We note that the state-of-art DDoS protection architectures did not fully utilize the potential of SDN and network function virtualization (NFV) to mitigate the impact of attack traffic on data center network. Therefore, in this paper, we exploit the flexibility of SDN and NFV to propose FlexProtect, a flexible distributed DDoS protection architecture for multi-tenant data centers. In FlexProtect, the detection virtual network functions (VNFs) are placed near the service provider and the defense VNFs are placed near the edge routers for effectively detection and avoid internal bandwidth consumption, respectively. Based on the architecture, we then propose FP-SYN, an anti-spoofing SYN flood protection mechanism. The emulation and simulation results with real-world data demonstrates that, compared with the traditional approach, the proposed architecture can significantly reduce 46% of the additional routing path and save 60% internal bandwidth consumption. Moreover, the proposed detection mechanism for anti-spoofing can achieve 98% accuracy."
97,Guard Mounting: Reorganizations to Mitigate DDoS Attacks over Identity Providers Clustering,https://dl.acm.org/citation.cfm?id=2801709&preflayout=flat,September 2015,"S3 '15: Proceedings of the 2015 Workshop on Wireless of the Students, by the Students, & for the Students",https://dl.acm.org/ft_gateway.cfm?id=2801709&ftid=1616566&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,83,"Under the increasing popularization of portable and mobile devices, as well as the positive trends to the Internet of Everything, Identity Management systems gain a crucial role in integrating different administrative domains towards a global ubiquitous computing. Denial-of-Service (DoS) attacks can make IdM operations unavailable, preventing the use of computational resources by legitimate users. This work presents SAMOS, a novel Scheme for DoS Attacks Mitigation by the reOrganization and optimization of the IdM System. SAMOS optimizes the reorganization of the IdM system components founded on optimization techniques, minimizing DoS effects and improving the system lifetime. Results considering data from a real IdM system indicate the scheme viability and benefits."
98,An Unsupervised Approach for Online Detection and Mitigation of High-Rate DDoS Attacks Based on an In-Memory Distributed Graph Using Streaming Data and Analytics,https://dl.acm.org/citation.cfm?id=3148077&preflayout=flat,December 2017,"BDCAT '17: Proceedings of the Fourth IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",https://dl.acm.org/ft_gateway.cfm?id=3148077&ftid=1929700&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,229,"A Distributed Denial of Service (DDoS) attack is an attempt to make an online service, a network, or even an entire organization, unavailable by saturating it with traffic from multiple sources. DDoS attacks are among the most common and most devastating threats that network defenders have to watch out for. DDoS attacks are becoming bigger, more frequent, and more sophisticated. Volumetric attacks are the most common types of DDoS attacks. A DDoS attack is considered volumetric, or high-rate, when within a short period of time it generates a large amount of packets or a high volume of traffic. High-rate attacks are well-known and have received much attention in the past decade; however, despite several detection and mitigation strategies have been designed and implemented, high-rate attacks are still halting the normal operation of information technology infrastructures across the Internet when the protection mechanisms are not able to cope with the aggregated capacity that the perpetrators have put together. With this in mind, the present paper aims to propose and test a distributed and collaborative architecture for online high-rate DDoS attack detection and mitigation based on an in-memory distributed graph data structure and unsupervised machine learning algorithms that leverage real-time streaming data and analytics. We have successfully tested our proposed mechanism using a real-world DDoS attack dataset at its original rate in pursuance of reproducing the conditions of an actual large scale attack."
99,XFirewall: A Dynamic and Additional Mitigation Against DDoS Storm,https://dl.acm.org/citation.cfm?id=3093252&preflayout=flat,May 2017,ICCDA '17: Proceedings of the International Conference on Compute and Data Analysis,https://dl.acm.org/ft_gateway.cfm?id=3093252&ftid=1902675&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,179,"The Distributed Denial of Service (DDoS) attack is a main concern in network security. Since the attackers have developed different techniques and methods, preventing DDoS attacks has become more difficult. Traditional firewall is ineffective in preventing DDoS attacks. In this paper, we propose a new type of firewall named XFirewall to defend against DDoS attacks. XFirewall is a temporary firewall and is created when an attack occurs. Also, XFirewall will be configured with dynamic rules based on real-time traffic analysis. We will discuss in detail the design and algorithm for generating an XFirewall."
